,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
70,"frozenset({'LIQUOR', 'WINE'})","frozenset({'BEER', 'NON-ALCOHOL'})",0.16666666666666666,0.023965141612200435,0.015250544662309368,0.09150326797385622,3.818181818181819,1.0,0.011256354393609296,1.0743405275779376,0.8857142857142857,0.08695652173913045,0.06919642857142858,0.3639334521687463
65,"frozenset({'BEER', 'NON-ALCOHOL'})","frozenset({'LIQUOR', 'WINE'})",0.023965141612200435,0.16666666666666666,0.015250544662309368,0.6363636363636364,3.8181818181818183,1.0,0.011256354393609296,2.2916666666666665,0.756218112244898,0.08695652173913045,0.5636363636363636,0.3639334521687463
1,frozenset({'KEGS'}),frozenset({'BEER'}),0.13616557734204793,0.2570806100217865,0.13071895424836602,0.9600000000000001,3.7342372881355934,1.0,0.09571342456130358,18.572984749455372,0.8476250525430853,0.49792531120331945,0.9461583577712611,0.7342372881355932
0,frozenset({'BEER'}),frozenset({'KEGS'}),0.2570806100217865,0.13616557734204793,0.13071895424836602,0.5084745762711864,3.734237288135593,1.0,0.09571342456130358,1.757456239200661,0.9855816226783968,0.49792531120331945,0.43099578942868744,0.7342372881355932
62,"frozenset({'BEER', 'NON-ALCOHOL', 'WINE'})",frozenset({'LIQUOR'}),0.015250544662309368,0.3159041394335512,0.015250544662309368,1.0,3.1655172413793102,1.0,0.01043283447486959,inf,0.6946902654867257,0.04827586206896552,1.0,0.5241379310344828
73,frozenset({'LIQUOR'}),"frozenset({'BEER', 'NON-ALCOHOL', 'WINE'})",0.3159041394335512,0.015250544662309368,0.015250544662309368,0.04827586206896552,3.1655172413793102,1.0,0.01043283447486959,1.034700514666414,1.0,0.04827586206896552,0.033536771437290204,0.5241379310344828
39,frozenset({'LIQUOR'}),"frozenset({'NON-ALCOHOL', 'WINE'})",0.3159041394335512,0.023965141612200435,0.02287581699346405,0.07241379310344827,3.021630094043887,1.0,0.015305129556058684,1.0522308882247653,0.978010312405217,0.07216494845360823,0.04963823891625615,0.5134796238244513
36,"frozenset({'NON-ALCOHOL', 'WINE'})",frozenset({'LIQUOR'}),0.023965141612200435,0.3159041394335512,0.02287581699346405,0.9545454545454545,3.0216300940438865,1.0,0.015305129556058684,15.05010893246185,0.6854804421768708,0.07216494845360823,0.9335552982049796,0.5134796238244513
43,"frozenset({'BEER', 'KEGS'})","frozenset({'NON-ALCOHOL', 'LIQUOR'})",0.13071895424836602,0.03159041394335512,0.010893246187363835,0.08333333333333333,2.6379310344827585,1.0,0.006763780312415453,1.0564468211527036,0.7142857142857143,0.07194244604316546,0.053430821147356575,0.21408045977011494
48,"frozenset({'NON-ALCOHOL', 'LIQUOR'})","frozenset({'BEER', 'KEGS'})",0.03159041394335512,0.13071895424836602,0.010893246187363835,0.3448275862068966,2.6379310344827585,1.0,0.006763780312415453,1.3267973856209152,0.6411698537682791,0.07194244604316546,0.24630541871921183,0.21408045977011494
